"Y01","Account_Type","Additional_Seats","Age","Arrival_Time","Auto_Renew_STH","Concession_Total","Cust_ID","DistA","Educational_Level","Favorite_Caps_Player","Favorite_Sport","Favorite_Team","First_Year_STH","HouseHold_Income_True","ID","Job_Sector","Last_Contact","Marital","Mode_Of_Transport","Most_Purch_Concession","Mult_Loc","Net_Worth_True","Num_Children","NumSeats","PerSold","PerTransf","PerUsed","Rejoined_STH","Rep_Calls","Rep_Name","Rep_Visits","Seating_Location","Sex","Spent_Other_Teams","State_Name","STH_Attended","Survey_Comp","Team_B_STH","Team_C_STH","Team_Network_Sub","Team_Store_Total","Tenure","Ticket_Form","Total_Spent","Weekday_Attended","Weekday_Sold","Weekend_Attended","Weekend_Sold","Zip_Codes","Contact_Year","Contact_Month","Contact_Day","Contact_Weekday","Contact_Hour","Marital_Original","Region","Flag_Tenure_High","Flag_Survey_Invalid"
0,"Personal",0,55,30,"Yes",1993.25,248041073,NA,NA,NA,NA,"Other",1991,115000,1574,NA,2024-04-26 20:13:12.680848,"M",NA,"Popcorn","No",1700000,3,6,0.070727493,0.025550949,0.117811099,FALSE,60,"Emma",15,"Suite","M",0,"California",7,0,NA,NA,"No",0,NA,"Digital",1993.25,0.389361702,0.610638298,0.47,0.049,90006,2024,4,26,"Fri",20,"M","West",NA,0
1,"Shared",0,88,30,"Yes",548.85,248056140,NA,NA,NA,NA,"Washington Capitals",2011,140000,1575,NA,2021-01-23 12:09:23.776081,"M",NA,"Popcorn","No",NA,0,2,0.015857521,0.037324893,0.746418475,FALSE,76,"David",9,"413","M",1186.0625,"Maryland",1,0,NA,NA,"Yes",0,14,"Digital",1734.9125,0.60070922,0.39929078,0.79,0.093,21206,2021,1,23,"Sat",12,"M","DCArea",0,0
1,"Personal",0,86,30,"Yes",880.28,248150797,27,NA,NA,NA,"Washington Capitals",1999,NA,1576,NA,2019-04-04 21:37:47.264709,"D",NA,"Popcorn","No",NA,1,2,0.218784106,0.01,0.8,FALSE,72,"David",19.5,"205","M",2200.7,"Virginia",2,0.13,NA,NA,"No",0,26,"Digital",3080.98,0.75035461,0.24964539,0.62,0.229,20110,2019,4,4,"Thu",21,"D","DCArea",0,0
0,"Personal",0,78,30,"Yes",928.97,248498549,NA,NA,NA,NA,"Washington Capitals",2020,NA,1577,NA,2019-12-12 17:24:00.643597,"M",NA,"Hot Dog","No",650000,1,2,0.049492959,0.021278417,0.09991578,FALSE,65.29148088,"Frank",9.5,"207","M",500,"Utah",3,0,NA,NA,"Yes",167.56,5,"Physical",1596.53,0.563829787,0.436170213,0.36,0.052,84103,2019,12,12,"Thu",17,"M","West",0,0
0,"Shared",0,NA,45,"Yes",0,248680649,NA,"SC","Sonny Milano","Other","Washington Capitals",2024,80000,1578,"Manufact",2019-02-02 23:07:25.67758,"M","Car","Other","No",NA,1,2,0.130808258,0.030185412,0.141859378,FALSE,77.690631,"Grace",5.5,"221","F",500,"Nebraska",0,0.49,"No","Yes","Yes",58.15,1,"Digital",558.15,0.582269504,0.417730496,0.75,0.163,68103,2019,2,2,"Sat",23,"M","Midwest",0,0
0,"Personal",0,29,15,"No",934.38,248690314,NA,NA,NA,NA,"Washington Capitals",2020,70000,1579,NA,2019-11-17 18:02:50.004731,NA,NA,"Beer","No",NA,NA,2,0.123406086,0.025386874,0.007217847,FALSE,22.21302184,"Alice",9,"100","M",0,"South Carolina",3,0.18,NA,NA,"No",149.87,5,"Digital",1084.25,0.668085106,0.331914894,0.63,0.096,29205,2019,11,17,"Sun",18,NA,"South",0,0
1,"Personal",0,78,45,"Yes",741.06,248717748,NA,NA,NA,NA,"Washington Capitals",1981,90000,1580,NA,2019-05-11 02:25:12.600178,"U",NA,"Beer","No",NA,0,2,0.012786235,0.01,0.14662362,FALSE,73,"Frank",9,"417","M",500,"Connecticut",1,0.25,NA,NA,"No",0,44,"Digital",1241.06,0.655319149,0.344680851,0.76,0.01,6108,2019,5,11,"Sat",2,"U","Northeast",0,0
1,"Shared",0,98,-15,"No",915.01,248862394,120,"SC","Dylan Strome","NHL","Philadelphia Flyers",2016,NA,1581,"Gov",2020-05-09 07:08:07.065661,"D","Other","Specialty","No",NA,NA,2,0.027908817,0.110955129,0.9,TRUE,75.15998097,"Other",9.5,"225","M",500,"Pennsylvania",1,0.48,"No","Yes","Yes",124.63,3,"Physical",1539.64,0.533333333,0.466666667,0.58,0.002,19003,2020,5,9,"Sat",7,"D","Northeast",0,0
1,"Personal",0,93,45,"Yes",1251.2,248928935,40,NA,NA,NA,"Washington Capitals",2016,115000,1582,NA,2018-09-25 09:42:22.387135,NA,NA,"Specialty","No",NA,0,4,0.016365933,0.028189998,0.777833414,FALSE,65,"David",NA,"Club","M",1551.42,"Maryland",4,0.31,NA,NA,"Yes",300.22,9,"Physical",3102.84,0.330496454,0.669503546,0.89,0.087,21206,2018,9,25,"Tue",9,NA,"DCArea",0,0
1,"Personal",0,28,60,"Yes",827.96,248940594,0,NA,NA,NA,"Washington Capitals",2016,1e+05,1583,NA,2019-09-15 02:00:12.918752,"M",NA,"Beer","No",NA,2,2,0.050306756,0.01,0.988270348,FALSE,72,"Alice",14,"115","M",1432.1875,"District of Columbia",2,0.18,NA,NA,"No",317.79,9,"Digital",2577.9375,0.823404255,0.176595745,0.9,0.009,20004,2019,9,15,"Sun",2,"M","DCArea",0,0
1,"Personal",0,63,15,"Yes",490.16,249018304,85,NA,NA,NA,"Washington Capitals",1999,135000,1584,NA,2023-09-30 21:15:14.417028,NA,NA,"Popcorn","No",NA,0,1,0.090193492,0.014013562,0.016981724,FALSE,71,"Frank",14.5,"228","M",1389.55,"Delaware",3,0.48,NA,NA,"Yes",899.39,26,"Physical",2779.1,0.538297872,0.461702128,0.97,0.16,19903,2023,9,30,"Sat",21,NA,"South",0,0
1,"Business",0,30,30,"Yes",991.7,249141384,1,NA,NA,NA,"Washington Capitals",2020,30000,1585,NA,2020-09-23 00:07:10.497544,"M",NA,"Soda","No",NA,5,4,0.301819877,0.156298249,0.817855806,FALSE,59.12161535,"Ivy",11,"428","M",1487.7625,"District of Columbia",2,0.25,NA,NA,"Yes",198.51,5,"Digital",2677.9725,0.508510638,0.491489362,0.69,0.241,20006,2020,9,23,"Wed",0,"M","DCArea",0,0
1,"Personal",0,51,30,"Yes",1101.3,249253487,187,"HS","Tom Wilson","NHL","New Jersey Devils",2020,130000,1586,"Health",2020-12-27 14:38:13.024953,"M","Uber/Taxi","Beer","No",NA,3,4,0.114910606,0.284753654,0.93,FALSE,65,"Other",17,"113","M",1376.625,"New Jersey",1,0.13,"Yes","No","No",0,NA,"Digital",2477.925,0.532624113,0.467375887,1,0.106,7007,2020,12,27,"Sun",14,"M","Northeast",NA,0
0,"Shared",0,33,-60,"Yes",1993.49,249254238,NA,NA,NA,NA,"Washington Capitals",2018,1e+05,1587,NA,2023-05-24 21:32:24.608965,"M",NA,"Peanuts","No",NA,4,6,0.074987014,0.038596216,0.88,TRUE,74.78295363,"Alice",15,"Suite","M",1058.235,"South Dakota",4,0.35,NA,NA,"Yes",122.98,1,"Physical",3174.705,0.705673759,0.294326241,0.81,0.059,57105,2023,5,24,"Wed",21,"M","Midwest",0,0
1,"Personal",0,55,15,"No",824.74,249258412,38,"SC","Dylan McIlrath","NHL","Washington Capitals",2022,90000,1588,"Finance",2023-03-20 07:18:28.757099,"D","Car","Specialty","No",NA,2,2,0.196372517,0.035797225,0.927586445,FALSE,69.49699267,"Ivy",6,"432",NA,0,"Maryland",2,0.13,"No","No","Yes",122.65,3,"Digital",947.39,0.4,0.6,0.76,0.166,21210,2023,3,20,"Mon",7,"D","DCArea",0,0
1,"Personal",0,28,15,"Yes",738.94,249289613,1,NA,NA,NA,"Washington Capitals",2022,NA,1589,NA,2021-10-04 02:25:14.643397,"M",NA,"Peanuts","No",350000,2,2,0.125285152,0.092894271,0.797644807,FALSE,33,"Frank",NA,"227","M",500,"District of Columbia",2,0.34,NA,NA,"Yes",103.07,3,"Digital",1342.01,0.678723404,0.321276596,0.89,0.221,20005,2021,10,4,"Mon",2,"M","DCArea",0,0
1,"Personal",0,67,30,"Yes",1170.32,249335279,1,NA,NA,NA,"Washington Capitals",2019,140000,1590,NA,2018-11-26 18:16:16.197863,"M",NA,"Soda","No",2500000,0,4,0.041210816,0.190906717,0.651594437,TRUE,69.06942571,"Alice",16.5,"224","M",1586.2875,"District of Columbia",3,0.12,NA,NA,"No",98.71,1,"Digital",2855.3175,0.521276596,0.478723404,0.86,0.149,20005,2018,11,26,"Mon",18,"M","DCArea",0,0
1,"Personal",0,72,60,"No",862.13,249412997,252,NA,NA,NA,"Washington Capitals",1999,65000,1591,NA,2024-08-06 19:07:55.907886,"M",NA,"Beer","No",NA,1,2,0.016545214,0.048527422,0.020701505,FALSE,71.17395291,"David",15.5,"201","F",500,"West Virginia",0,0,NA,NA,"Yes",901.52,26,"Digital",2263.65,0.634751773,0.365248227,0.76,0.009,25301,2024,8,6,"Tue",19,"M","South",0,0
1,"Personal",0,NA,60,"Yes",840.47,249510461,39,"BD","Tom Wilson","NHL","Washington Capitals",2014,NA,1592,"Tech",2018-11-29 14:01:02.08986,"M","Uber/Taxi","Beer","No",NA,3,2,0.119710938,0.042836906,0.687170972,FALSE,39,"Frank",12,"117","M",500,"Maryland",2,0.06,"No","No","No",0,11,"Digital",1340.47,0.495744681,0.504255319,0.82,0.094,21212,2018,11,29,"Thu",14,"M","DCArea",0,0
1,"Personal",0,32,30,"Yes",949.03,249602333,249,"SC","T.J. Oshie","NHL","Washington Capitals",2013,90000,1593,"Finance",2020-11-01 09:52:52.341232,"M","Car","Specialty","No",1950000,1,2,0.017431303,0.003,0.012190097,FALSE,43,"Frank",16.5,"222","M",1699.3625,"West Virginia",2,0.46,"No","No","No",410.46,12,"Digital",3058.8525,0.931205674,0.068794326,0.98,0.053,25302,2020,11,1,"Sun",9,"M","South",0,0
1,"Personal",0,88,0,"Yes",1376.29,249718376,NA,"AD","Nic Dowd","Other","Washington Capitals",1987,NA,1594,"Tech",2018-07-26 00:57:01.068469,"M","Car","Burger","No",NA,1,4,0.134182255,0.076366475,0.96,FALSE,60,"David",19,"Suite","M",500,"Maryland",3,0.13,"No","No","No",1320.65,38,"Digital",3196.94,0.569503546,0.430496454,0.43,0.136,21210,2018,7,26,"Thu",0,"M","DCArea",0,0
0,"Personal",0,69,45,"Yes",777.53,249794736,NA,NA,NA,NA,"Washington Capitals",2010,95000,1595,NA,2024-02-15 18:58:41.719743,"M",NA,"Popcorn","No",NA,1,2,0.16150719,0.018679641,0.145367463,FALSE,54,"Emma",14,"Club","M",500,"Iowa",1,0.26,NA,NA,"No",0,15,"Digital",1277.53,0.873049645,0.126950355,0.85,0.099,50303,2024,2,15,"Thu",18,"M","Midwest",0,0
1,"Personal",0,18,15,"No",0,249816623,54,"SC","Tom Wilson","NHL","Washington Capitals",2025,NA,1596,"Finance",2018-01-22 23:52:54.384043,NA,"Uber/Taxi","Hot Dog","No",9e+05,0,2,0.062263677,0.086779927,0.795902003,FALSE,67.56536103,"Alice",4,"402","M",0,"Virginia",0,0.29,"No","Yes","Yes",78.17,1,"Physical",78.17,0.611347518,0.388652482,0.63,0.013,20106,2018,1,22,"Mon",23,NA,"DCArea",0,0
1,"Personal",0,90,30,"No",1170.12,249848038,116,NA,NA,NA,"Philadelphia Flyers",2020,NA,1597,NA,2018-11-05 09:28:43.16587,NA,NA,"Beer","No",NA,0,4,0.009065413,0.013757883,0.696325697,FALSE,55.22432407,"Frank",13.5,"226","F",1358.03,"Pennsylvania",4,0.2,NA,NA,"Yes",187.91,5,"Digital",2716.06,0.503546099,0.496453901,0.65,0.018,19008,2018,11,5,"Mon",9,NA,"Northeast",0,0
1,"Business",0,25,30,"Yes",1208.61,249969416,32,NA,NA,NA,"Washington Capitals",2021,110000,1598,NA,2023-12-22 21:40:11.229629,"M",NA,"Beer","No",350000,2,4,0.160166822,0.01369398,0.94,FALSE,52,"Emma",17.5,"209","M",1714.475,"Virginia",0,0,NA,NA,"No",162.97,4,"Digital",3086.055,0.54964539,0.45035461,0.41,0.195,20108,2023,12,22,"Fri",21,"M","DCArea",0,0
1,"Personal",0,73,60,"Yes",965.39,250047450,NA,NA,NA,NA,"Washington Capitals",2008,NA,1599,NA,2018-05-09 13:35:49.853142,"M",NA,"Beer","No",NA,1,2,0.120193374,0.023644876,0.8,FALSE,75,"Emma",18,"114","M",1557.98,"Virginia",2,0.26,NA,NA,"Yes",592.59,17,"Digital",3115.96,0.992198582,0.007801418,0.97,0.247,20106,2018,5,9,"Wed",13,"M","DCArea",0,0
1,"Personal",0,87,30,"Yes",806.54,250062440,124,NA,NA,NA,"Philadelphia Flyers",2021,NA,1600,NA,2019-03-10 06:18:31.154062,"M",NA,"Beer","No",NA,1,2,0.098155236,0.01,0.41939222,FALSE,35.65740269,"Other",NA,"408","M",1170.725,"Pennsylvania",0,0.33,NA,NA,"Yes",130.04,4,"Digital",2107.305,0.531205674,0.468794326,0.82,0.073,19004,2019,3,10,"Sun",6,"M","Northeast",0,0
1,"Shared",0,25,60,"Yes",735.57,250139749,2,NA,NA,NA,"Washington Capitals",2023,NA,1601,NA,2022-12-28 13:02:34.627895,"M",NA,"Hot Dog","No",NA,1,2,0.017359892,0.051575548,0.732213316,FALSE,NA,"Grace",NA,"411","M",1027.8625,"District of Columbia",2,0.22,NA,NA,"Yes",86.72,2,"Digital",1850.1525,0.758156028,0.241843972,0.62,0.007,20003,2022,12,28,"Wed",13,"M","DCArea",0,0
1,"Personal",0,86,30,"Yes",1566.08,250217595,38,NA,NA,NA,"Washington Capitals",2020,NA,1602,NA,2022-09-03 14:30:17.084907,"M",NA,"Peanuts","No",1150000,0,6,0.028470807,0.033897941,0.640805695,TRUE,65.19630115,"Alice",17.5,"202","M",2101.325,"Maryland",4,0.12,NA,NA,"No",114.98,NA,"Digital",3782.385,0.953900709,0.046099291,0.91,0.086,21210,2022,9,3,"Sat",14,"M","DCArea",NA,0
1,"Personal",0,80,45,"Yes",828.14,250220147,37,"BD","Matt Roy","NHL","Washington Capitals",2024,NA,1603,"Finance",2020-07-20 17:04:34.090219,"M","Car","Other","No",NA,0,2,0.027951511,0.055330416,0.935385274,FALSE,30.18002803,"Grace",7.5,"221","M",1035.175,"Maryland",1,0.44,"Yes","No","No",0,1,"Digital",1863.315,0.427659574,0.572340426,0.68,0.096,21208,2020,7,20,"Mon",17,"M","DCArea",0,0
1,"Business",0,26,45,"Yes",1168.55,250239387,2,NA,NA,NA,"Washington Capitals",2018,70000,1604,NA,2024-01-02 08:43:03.676223,NA,NA,"Beer","No",150000,3,4,0.074092223,0.019359126,0.685979469,FALSE,59,"Other",10.5,"224","M",0,"District of Columbia",2,0.18,NA,NA,"Yes",256.6,7,"Digital",1425.15,0.480141844,0.519858156,0.44,0.045,20009,2024,1,2,"Tue",8,NA,"DCArea",0,0
0,"Business",0,85,45,"Yes",1367.95,250350109,NA,NA,NA,NA,"Washington Capitals",2002,NA,1605,NA,2023-01-08 11:29:59.050706,"M",NA,"Hot Dog","No",NA,1,4,0.058191555,0.068344626,0.008921832,FALSE,78,"David",16,"Suite","M",1709.9375,"Kentucky",4,0.23,NA,NA,"Yes",0,23,"Digital",3077.8875,0.907092199,0.092907801,0.82,0.001,40208,2023,1,8,"Sun",11,"M","South",0,0
0,"Personal",0,33,45,"Yes",692.64,250426348,NA,"AD","Alexander Ovechkin","NHL","Other",2017,NA,1606,"Gov",2023-05-25 10:35:16.613732,"D","Car","Soda","No",NA,2,2,0.070160764,0.009781878,0.031357929,FALSE,73,"Ivy",12,"409","M",1206.7375,"Illinois",3,0.38,"No","No","Yes",272.75,8,"Digital",2172.1275,0.571631206,0.428368794,0.99,0.139,60609,2023,5,25,"Thu",10,"D","Midwest",0,0
1,"Personal",0,26,30,"No",2389.84,250461055,54,NA,NA,NA,"Washington Capitals",2023,NA,1607,NA,2024-06-03 10:59:54.485097,"M",NA,"Specialty","No",NA,3,8,0.085129425,0.021935841,0.870668877,FALSE,57.88523239,"Alice",14,"121","M",1262.905,"Virginia",0,0.41,NA,NA,"No",135.97,2,"Digital",3788.715,0.657446809,0.342553191,0.34,0.058,20106,2024,6,3,"Mon",10,"M","DCArea",0,0
1,"Personal",0,60,60,"Yes",767.29,250502568,198,NA,NA,NA,"New Jersey Devils",2010,NA,1608,NA,2024-06-14 14:13:58.849638,"M",NA,"Specialty","No",650000,1,2,0.03931632,0.01,0.150443084,FALSE,75.85587737,"David",29,"Club","M",1681.88,"New Jersey",3,0.29,NA,NA,"Yes",2596.47,15,"Digital",5045.64,0.816312057,0.183687943,0.9,0.156,7002,2024,6,14,"Fri",14,"M","Northeast",0,0
1,"Personal",0,49,30,"Yes",982.8,250586239,54,"SC","Alexander Ovechkin","Other","Washington Capitals",2020,NA,1609,"Gov",2019-09-26 14:05:27.399103,"U","Public","Beer","No",650000,1,2,0.123900785,0.03429738,0.799363605,TRUE,57,"Alice",10,"105","M",500,"Virginia",0,0.52,"No","No","No",79.02,NA,"Digital",1561.82,0.568794326,0.431205674,0.93,0.195,20106,2019,9,26,"Thu",14,"U","DCArea",NA,0
1,"Personal",0,93,60,"Yes",1340.25,250639605,NA,"BD","Alexander Ovechkin","NHL","Washington Capitals",2022,NA,1610,"Finance",2018-05-15 20:03:58.14161,"M","Public","Hot Dog","No",450000,0,4,0.00126569,0.01,0.680512704,FALSE,73,NA,8,"Suite","M",0,"District of Columbia",1,0.25,"No","No","Yes",132.87,3,"Digital",1473.12,0.724113475,0.275886525,0.9,0.019,20010,2018,5,15,"Tue",20,"M","DCArea",0,0
1,"Personal",0,29,45,"Yes",857.65,250670942,132,NA,NA,NA,"Philadelphia Flyers",2018,NA,1611,NA,2018-08-06 17:38:55.484167,"M",NA,"Popcorn","No",NA,4,2,0.00084382,0.01,0.635347517,FALSE,73.76805296,"Other",10,"102","M",500,"Pennsylvania",1,0,NA,NA,"Yes",248.82,7,"Digital",1606.47,0.639007092,0.360992908,0.85,0.016,19001,2018,8,6,"Mon",17,"M","Northeast",0,0
1,"Personal",0,61,30,"No",1406.42,250908965,199,NA,NA,NA,"New Jersey Devils",2020,NA,1612,NA,2018-02-23 09:28:15.449967,"M",NA,"Hot Dog","No",NA,2,6,0.21006526,0.04462486,0.88,FALSE,64.69763169,"Ivy",14,"409","M",1758.025,"New Jersey",7,0.53,NA,NA,"No",0,5,"Digital",3164.445,0.542553191,0.457446809,0.46,0.248,7004,2018,2,23,"Fri",9,"M","Northeast",0,0
0,"Personal",0,60,30,"Yes",1283.27,250956717,NA,"AD","T.J. Oshie","Other","Washington Capitals",2023,NA,1613,"Gov",2020-07-17 02:40:47.738678,"M","Uber/Taxi","Popcorn","No",NA,1,4,0.016087522,0.081519117,0.062695072,FALSE,56,"Grace",9,"Club","M",0,"Wyoming",3,0.16,"Yes","No","No",88.81,2,"Digital",1372.08,0.580851064,0.419148936,0.62,0.152,82006,2020,7,17,"Fri",2,"M","West",0,0
1,"Shared",0,80,45,"Yes",855.85,251561813,32,"SC","Alexander Ovechkin","Other","Washington Capitals",2016,NA,1614,"Gov",2023-11-20 12:11:09.718918,"M","Public","Popcorn","No",NA,0,2,0.104810473,0.253451392,0.611343134,FALSE,67,"David",11,"111","M",1069.8125,"Virginia",1,0,"No","No","No",0,9,"Physical",1925.6625,0.663120567,0.336879433,0.46,0.08,20104,2023,11,20,"Mon",12,"M","DCArea",0,0
1,"Personal",0,47,30,"No",1342.88,251574289,32,"SC","T.J. Oshie","NHL","Washington Capitals",2019,85000,1615,"Gov",2020-10-08 05:02:23.895531,"D","Public","Popcorn","No",350000,1,4,0.187037388,0.091725319,0.85692547,TRUE,45.64045405,"Grace",10,"100","M",1342.88,"Virginia",1,0.03,"No","No","No",0,1,"Digital",2685.76,0.503546099,0.496453901,1,0.218,20101,2020,10,8,"Thu",5,"D","DCArea",0,0
1,"Personal",0,77,30,"Yes",882.89,251698277,32,"HS","Dylan Strome","NHL","Washington Capitals",2018,NA,1616,"Gov",2018-03-04 16:56:59.395984,"M","Public","Soda","No",1100000,0,2,0.040584854,0.073928269,0.875200263,TRUE,64.38218521,"Ivy",9.5,"202","M",1186.175,"Virginia",1,0.5,"No","No","Yes",66.05,1,"Physical",2135.115,0.640425532,0.359574468,0.78,0.087,20102,2018,3,4,"Sun",16,"M","DCArea",0,0
1,"Personal",0,68,30,"No",1840.79,251760727,35,"MD","Nic Dowd","Other","Washington Capitals",1985,90000,1617,"Finance",2024-07-21 11:21:36.348484,"M","Public","Beer","No",NA,1,6,0.028500335,0.097729986,0.399950981,FALSE,77,"Emma",16.5,"200","M",0,"Maryland",3,0.18,"No","No","Yes",1389.43,40,"Digital",3230.22,0.490070922,0.509929078,0.4,0.063,21207,2024,7,21,"Sun",11,"M","DCArea",0,0
1,"Personal",0,54,45,"Yes",1856.93,251791433,1,NA,NA,NA,"Washington Capitals",2004,NA,1618,NA,2019-08-07 12:52:13.955321,"M",NA,"Beer","No",1650000,2,6,0.065132262,0.017380603,0.914863292,FALSE,63,"Emma",25,"Club",NA,2592.51,"District of Columbia",3,0.5,NA,NA,"No",735.58,21,"Digital",5185.02,0.681560284,0.318439716,0.9,0.021,20005,2019,8,7,"Wed",12,"M","DCArea",0,0
1,"Personal",0,19,60,"Yes",1293.91,252076259,32,"BD","Alexander Ovechkin","NHL","Washington Capitals",2024,60000,1619,"Gov",2021-01-28 04:57:44.174136,"M","Public","Burger","No",5e+05,0,4,0.018706232,0.100132874,0.952729007,FALSE,66.34734778,"Grace",6,"107","M",0,"Virginia",1,0.38,"No","No","No",100.71,1,"Digital",1394.62,0.95248227,0.04751773,0.88,0.05,20105,2021,1,28,"Thu",4,"M","DCArea",0,0
1,"Personal",0,70,-15,"Yes",740.74,252345654,116,NA,NA,NA,"Philadelphia Flyers",2017,95000,1620,NA,2021-11-23 03:42:58.815423,"M",NA,"Popcorn","No",NA,1,2,0.003116334,0.094126084,0.859450118,TRUE,65.61806542,"Grace",4,"412","M",0,"Pennsylvania",0,0,NA,NA,"No",72.47,1,"Digital",813.21,0.779432624,0.220567376,0.57,0.015,19008,2021,11,23,"Tue",3,"M","Northeast",0,0
0,"Personal",0,21,0,"Yes",887.7,252347379,249,NA,NA,NA,"Washington Capitals",2024,NA,1621,NA,2023-04-28 06:32:07.66995,"M",NA,"Beer","No",NA,1,4,0.06009854,0.073177757,0.656441232,FALSE,68.7891493,"Ivy",9,"424","M",1225.1125,"West Virginia",2,0.26,NA,NA,"Yes",92.39,1,"Digital",2205.2025,0.697163121,0.302836879,0.73,0.026,25302,2023,4,28,"Fri",6,"M","South",0,0
1,"Personal",0,95,60,"Yes",741.87,252375399,35,NA,NA,NA,"Washington Capitals",2016,65000,1622,NA,2021-10-29 18:48:15.123605,"U",NA,"Hot Dog","No",50000,0,2,0.26579721,0.08997054,0.687926774,FALSE,62,"Grace",12,"405","M",927.3375,"Maryland",1,0.44,NA,NA,"Yes",0,9,"Physical",1669.2075,0.533333333,0.466666667,0.63,0.233,21207,2021,10,29,"Fri",18,"U","DCArea",0,0
1,"Personal",0,34,-15,"Yes",2077.25,252537859,197,NA,NA,NA,"New Jersey Devils",2016,NA,1623,NA,2021-03-19 14:40:24.280266,"M",NA,"Burger","No",1500000,5,6,0.143612376,0.014367966,0.92,FALSE,NA,"Emma",18,"Suite","M",1204.3,"New Jersey",3,0.37,NA,NA,"No",331.35,NA,"Digital",3612.9,0.595035461,0.404964539,0.67,0.185,7005,2021,3,19,"Fri",14,"M","Northeast",NA,0
1,"Business",0,66,-15,"Yes",1842.94,252551917,254,"MD","Sonny Milano","NHL","Washington Capitals",2012,NA,1624,"Tech",2020-03-28 03:29:52.19211,NA,"Car","Beer","No",NA,NA,6,0.146039171,0.018567827,0.163936949,FALSE,66,"David",18,"Club","M",0,"West Virginia",3,0,"Yes","No","No",0,13,"Physical",1842.94,0.605673759,0.394326241,0.61,0.097,25303,2020,3,28,"Sat",3,NA,"South",0,0
1,"Personal",0,97,45,"Yes",1041.3,252575502,259,NA,NA,NA,"Washington Capitals",1985,105000,1625,NA,2018-04-09 04:57:38.314803,"D",NA,"Beer","No",1550000,0,2,0.061077381,0.04785335,0.01204812,FALSE,37,"David",40,"110","M",500,"West Virginia",2,0.36,NA,NA,"No",6929.4,40,"Digital",8470.7,0.368794326,0.631205674,0.75,0.063,25313,2018,4,9,"Mon",4,"D","South",0,0
1,"Personal",0,80,15,"Yes",729.65,252591891,28,NA,NA,NA,"Washington Capitals",2022,NA,1626,NA,2021-10-25 16:48:49.749475,"M",NA,"Other","No",NA,0,2,0.124306757,0.090028901,0.824973684,FALSE,33.87642894,"Grace",9,"432","M",1043.3,"Virginia",0,0,NA,NA,"No",104.99,3,"Digital",1877.94,0.470212766,0.529787234,0.98,0.042,20109,2021,10,25,"Mon",16,"M","DCArea",0,0
1,"Personal",0,96,60,"Yes",897.89,252612289,28,NA,NA,NA,"Washington Capitals",2020,NA,1627,NA,2023-11-21 01:51:31.748536,"M",NA,"Beer","No",NA,1,2,0.171812414,0.095022286,0.762490323,TRUE,70,"Ivy",10,"Club","M",500,"Virginia",1,0.2,NA,NA,"No",73.15,1,"Digital",1471.04,0.525531915,0.474468085,0.85,0.212,20109,2023,11,21,"Tue",1,"M","DCArea",0,0
0,"Personal",0,90,-15,"Yes",1274.06,252748316,249,NA,NA,NA,"Washington Capitals",2018,NA,1628,NA,2024-06-22 10:19:29.399377,"M",NA,"Specialty","No",2950000,0,4,0.057215499,0.082892383,0.626582594,TRUE,32,"Grace",8,"Club","M",0,"West Virginia",1,0,NA,NA,"No",78.45,1,"Digital",1352.51,0.687234043,0.312765957,0.97,0.061,25302,2024,6,22,"Sat",10,"M","South",0,0
1,"Personal",0,94,15,"No",1818.49,252792349,203,"MD","Alexander Ovechkin","NHL","Other",2022,120000,1629,"Gov",2024-10-24 14:52:14.109668,"M","Public","Popcorn","No",NA,1,6,0.023182163,0.181290624,0.86,FALSE,74,NA,19,"Club","M",2468.05,"New York",3,0,"No","No","Yes",155.95,3,"Digital",4442.49,0.406382979,0.593617021,0.63,0.061,10006,2024,10,24,"Thu",14,"M","Northeast",0,0
1,"Personal",0,87,45,"Yes",1179.98,252921082,27,NA,NA,NA,"Washington Capitals",1986,NA,1630,NA,2018-06-02 13:35:13.713909,"M",NA,"Beer","No",1600000,2,4,0,0.3,0.94,FALSE,71,"Emma",20.5,"200","M",1267.655,"Virginia",3,0.21,NA,NA,"No",1355.33,39,"Digital",3802.965,0.934042553,0.065957447,0.94,0.078,20110,2018,6,2,"Sat",13,"M","DCArea",0,0
1,"Personal",0,31,-15,"Yes",973.35,253013787,187,NA,NA,NA,"New Jersey Devils",2020,NA,1631,NA,2020-06-26 21:40:36.966746,"M",NA,"Beer","No",NA,1,2,0.187467168,0.076309523,0.69,FALSE,36,"Emma",11,"Club","M",0,"New Jersey",0,0.11,NA,NA,"No",174.59,5,"Digital",1147.94,0.837588652,0.162411348,0.8,0.182,7001,2020,6,26,"Fri",21,"M","Northeast",0,0
1,"Personal",0,95,30,"Yes",812.39,253351689,85,"BD","Alexander Ovechkin","NHL","Washington Capitals",2013,NA,1632,"Finance",2021-03-26 18:14:50.497584,"M","Car","Beer","No",NA,0,2,0.155346338,0.088388128,0.88,FALSE,29,"Emma",14,"Club","M",1537.2875,"Delaware",3,0.45,"No","No","Yes",417.44,12,"Digital",2767.1175,0.834751773,0.165248227,0.69,0.135,19907,2021,3,26,"Fri",18,"M","South",0,0
